isolabel_ext,synonym
CO-ANT-CarolinaPrincipe,co-5150
CO-ANT-Caucasia,co-5154
CO-ANT-Caucasia,co;antioquia;caucasia
CO-ANT-Caucasia,co-a-cau
CO-ANT-Caucasia,co-caucasia
CO-ANT-Caucasia,co;ant;caucasia
CO-ANT-Caucasia,co-a-caucasia
CO-ANT-Chigorodo,co-a-chigorodo
CO-ANT-Chigorodo,co-5172
CO-ANT-Chigorodo,co;ant;chigorodo
CO-ANT-Chigorodo,co-chigorodo
CO-ANT-Chigorodo,co-a-chr
CO-ANT-Chigorodo,co;antioquia;chigorodo
CO-ANT-Cisneros,co-5190
CO-ANT-Cisneros,co;ant;cisneros
CO-ANT-Cisneros,co-a-cisneros
CO-ANT-Cisneros,co-cisneros
CO-ANT-Cisneros,co;antioquia;cisneros
CO-ANT-CiudadBolivar,co;ant;ciudad.bolivar
CO-ANT-CiudadBolivar,co-ciudadbolivar
CO-ANT-CiudadBolivar,co-a-cib
CO-ANT-CiudadBolivar,co;antioquia;ciudad.bolivar
CO-ANT-CiudadBolivar,co-a-ciudadbolivar
CO-ANT-CiudadBolivar,co-5101
CO-ANT-Cocorna,co-5197
CO-ANT-Cocorna,co-a-cocorna
CO-ANT-Cocorna,co-cocorna
CO-ANT-Cocorna,co;antioquia;cocorna
CO-ANT-Cocorna,co;ant;cocorna
CO-ANT-Concepcion,co-5206
CO-ANT-Concepcion,co;ant;concepcion
CO-ANT-Concepcion,co-a-concepcion
CO-ANT-Concepcion,co-a-cop
CO-ANT-Concepcion,co;antioquia;concepcion
CO-ANT-Concordia,co;antioquia;concordia
CO-ANT-Concordia,co-5209
CO-ANT-Concordia,co-a-concordia
CO-ANT-Concordia,co;ant;concordia
CO-ANT-Copacabana,co-copacabana
CO-ANT-Copacabana,co-5212
CO-ANT-Copacabana,co;antioquia;copacabana
CO-ANT-Copacabana,co-a-copacabana
CO-ANT-Copacabana,co;ant;copacabana
CO-ANT-Dabeiba,co;antioquia;dabeiba
CO-ANT-Dabeiba,co-a-dabeiba
CO-ANT-Dabeiba,co-dabeiba
CO-ANT-Dabeiba,co-5234
CO-ANT-Dabeiba,co;ant;dabeiba
CO-ANT-Dabeiba,co-a-dab
CO-ANT-DonMatias,co;antioquia;don.matias
CO-ANT-DonMatias,co-a-donmatias
CO-ANT-DonMatias,co;ant;don.matias
CO-ANT-DonMatias,co-5237
CO-ANT-DonMatias,co-donmatias
CO-ANT-DonMatias,co-a-don
CO-ANT-Ebejico,co;ant;ebejico
CO-ANT-Ebejico,co-a-ebejico
CO-ANT-Ebejico,co-5240
CO-ANT-Ebejico,co-a-ebe
CO-ANT-Ebejico,co-ebejico
CO-ANT-Ebejico,co;antioquia;ebejico
CO-ANT-ElBagre,co-a-elb
CO-ANT-ElBagre,co;antioquia;el.bagre
CO-ANT-ElBagre,co-5250
CO-ANT-ElBagre,co;ant;el.bagre
CO-ANT-ElBagre,co-elbagre
CO-ANT-ElBagre,co-a-elbagre
CO-ANT-ElCarmenViboral,co-elcarmenviboral
CO-ANT-ElCarmenViboral,co;ant;el.carmen.viboral
