isolabel_ext,status,cover,overlay
CO-ANT-SanRafael,0,c29r c2bh c2bm c2bv c2eh,
CO-ANT-SanRoque,0,c2bm c2br c2bv c2eh c2er c81m,
CO-ANT-SanVicente,0,c28r c28v c2ah c2am c2ar c2av,
CO-ANT-SantaBarbara,0,677m 677r 677v 67dh 67dm,
CO-ANT-SantaFeAntioquia,0,67er 67ev 6d4h 6d4m 6d4v,
CO-ANT-SantaRosaOsos,0,6d5m 6d5r 6d5v 6d7h 6d7m c2ar c80h c80m c80r c80v,
CO-ANT-SantoDomingo,0,c2av c2br c2bv c80m c81h c81m,
CO-ANT-Segovia,0,c86r c86v c89m c8ch c8cm c8cr c8cv c8dh c8dm c8dr c8dv c8fm,
CO-ANT-Sonson,0,c20h c20m c20r c20v c22h c22m c22v c23h c23m c23r c23v c26h c26m c26r c26v,
CO-ANT-Sopetran,0,67ev 67fr 6d4m 6d5h,
CO-ANT-Tamesis,0,674v 675r 676m 677h 677r,
CO-ANT-Taraza,0,6ddv 6dfm 6dfv 6f5m c88m c88r c88v c89r c8ah c8am c8ar ca0h,
CO-ANT-Tarso,0,676v 677r,
CO-ANT-Titiribi,0,67cm 67cv 67dh 67dr,
CO-ANT-Toledo,0,6d7h 6d7r,
CO-ANT-Turbo,0,6cq 6dq 6eg 6eq 6fg 6fq,
CO-ANT-Uramita,0,6d1v 6d3h 6d3m 6d3v 6d6h 6d6r,
CO-ANT-Urrao,0,678r 678v 679m 679r 679v 67ah 67am 67ar 67av 67bh 67bm 67br 67bv 67ch 67cr 67eh 67er 6d0h 6d0m 6d1h 6d1m,
CO-ANT-Valdivia,0,6d7v 6ddm 6ddv c82r c88h c88m c88r c88v c8am,
CO-ANT-Valparaiso,0,675r 675v 677h 677m,
CO-ANT-Vegachi,0,c81v c83m c84r c84v c85r c86h c86m c86r c87h,
CO-ANT-Venecia,0,676v 677r 67cm 67dh,
CO-ANT-VigiaFuerte,0,66q 67q 6cg 6dg,
CO-ANT-Yali,0,c81m c81v c84h c84m c84r c84v c85r,
CO-ANT-Yarumal,0,6d5v 6d7m 6d7r 6d7v c80r c82h c82r c82v c88h c88m,
CO-ANT-Yolombo,0,c2bv c2er c80m c81h c81m c81r c81v c83h c83m c84h c84m c84v c85h c85r,
CO-ANT-Yondo,0,c8g c9g c9q,
CO-ANT-Zaragoza,0,c89m c89v c8bh c8bm c8br c8bv c8ch c8cr c8cv c8eh c8em c8er ca4h,
CO-ARA-Arauca,0,cdg e2q e8g,
CO-ARA-Arauquita,0,c7q cdg,
CO-ARA-CravoNorte,0,e2q e3q e8g,
CO-ARA-Fortul,0,c6fr c6fv cc5h cc5m cc5r cc5v cd0h cd0m cd0r cd0v cd1h cd1m cd1r cd2m,
CO-ARA-PuertoRondon,0,c7dr c7dv c7eh c7em c7er c7ev c7fh c7fm c7fr c7fv cd1m cd4h cd4m cd5h cd5m e28r e2ah e2ar e80h,
CO-ARA-Saravena,0,cc5r cc5v cc7m cc7v cd0r cd0v cd2h cd2m cd2r cd2v,
CO-ARA-Tame,0,c6q c7q ccg cdg,
CO-ATL-Baranoa,0,d29m d29v d2ch d2cr,
CO-ATL-Barranquilla,0,d29v d2cr d2eh,
CO-ATL-CampoLaCruz,0,d21v d23m d24r d26h,
CO-ATL-Candelaria,0,d23m d23v d26h d26r,
CO-ATL-Galapa,0,d29v d2cr,
CO-ATL-JuanAcosta,0,d28m d29h d29m d29r d29v,
CO-ATL-Luruaco,0,d22v d23r d28m d29h,
CO-ATL-Malambo,0,d2ch d2cm d2cr d2cv,
CO-ATL-Manati,0,d21r d21v d23h d23m d23v,
CO-ATL-PalmarVarela,0,d26r d26v d2ch d2cm,
CO-ATL-Piojo,0,d22v d23r d28m d29h d29m,
CO-ATL-Polonuevo,0,d2c0k d2c0p d2c0s d2c0t d2c0y d2c0z d2c2j d2c2k d2c2n d2c2p d2c2s d2c2z d2c3j d2c3k d2c3s,
CO-ATL-Ponedera,0,d26h d26m d26r d26v d2ch,
CO-ATL-PuertoColombia,0,d29v d2bm d2cr d2eh,
CO-ATL-Repelon,0,d22m d22v d23h d23m d23r d23v,
CO-ATL-Sabanagrande,0,d2c3j d2c3k d2c3n d2c3p d2c3s d2c3t d2c3y d2c3z d2c6j d2c6k d2c6s d2c6t,
CO-ATL-Sabanalarga,0,d23m d23r d23v d26r d29h d29m d2ch,
CO-ATL-SantaLucia,0,d21v d23m,
CO-ATL-SantoTomas,0,d26r d2ch d2cm,
CO-ATL-Soledad,0,d2c8y d2c8z d2c9s d2c9t d2c9y d2c9z d2can d2cbj d2cbk d2cbn d2cbp d2ccs d2cct d2cej d2cek,
CO-ATL-Suan,0,d21dn d21dp d21ds d21dt d21dy d21dz d21fn d21fp d21fz d248s d248t d24aj d24ak d24as,
CO-ATL-Tubara,0,d29m d29r d29v,
CO-ATL-Usiacuri,0,d23v d29h d29m,
CO-BOL-Achi,0,cacv cadh cadm cadr cadv caem caev cafh cafm cafr cafv,
CO-BOL-AltosRosario,0,cafm cafv cbah cbam cbar cbav,
CO-BOL-Arenal,0,ca7m ca7v cb2h cb2r cb2v cb8h cb8m cb9h cb9r,
CO-BOL-Arjona,0,75fv 775m d0ar d0av d20h d20m d20r d20v,
CO-BOL-Arroyohondo,0,d21h d21m d21r d21v,
CO-BOL-BarrancoLoba,0,cafv cbah cbam cbar cbav d10h d10m,
CO-BOL-Calamar,0,d21h d21m d21r d21v,
CO-BOL-Cantagallo,0,c87v c8dm c92r c92v c98h c98m c98r c98v c99h c99r c9bh,
CO-BOL-CartagenaIndias,0,75g 77g d2g d2q,
CO-BOL-Cicuco,0,d04r d04v d06h d06m,
